"Time of Day","Lap","Lap Tm","Speed","Hits","Strength","Noise"
181 - Ryan Sotak - TT4
"10:25:16.423","1","2:00.295","76.312","46","149","24"
"10:27:16.469","2","2:00.046","76.471","43","147","23"
"10:29:17.193","3","2:00.724","76.041","42","146","29"
"10:31:35.982","4","2:18.789","66.144","40","147","24"
"10:33:37.830","5","2:01.848","75.340","44","153","21"
43 - Tim Roberts - TT5
"10:25:15.246","1","2:00.367","76.267","40","149","24"
"10:27:15.328","2","2:00.082","76.448","44","166","23"
"10:29:23.085","3","2:07.757","71.855","40","149","29"
"10:31:23.758","4","2:00.673","76.073","45","157","24"
"10:33:46.337","5","2:22.579","64.385","129","158","27"
197 - Garrett Walz - TT3
"10:25:21.992","1","2:02.794","74.759","48","133","24"
"10:27:24.252","2","2:02.260","75.086","47","132","23"
"10:29:25.650","3","2:01.398","75.619","48","133","29"
"10:31:26.288","4","2:00.638","76.095","50","134","24"
"10:33:53.978","5","2:27.690","62.157","218","133","27"
81 - Christina Werley - TT3
"10:25:36.927","1","2:07.683","71.897","35","122","24"
"10:27:40.699","2","2:03.772","74.169","35","122","23"
"10:29:43.817","3","2:03.118","74.563","37","123","29"
"10:31:46.291","4","2:02.474","74.955","38","123","24"
"10:33:48.529","5","2:02.238","75.099","37","124","24"
111 - John Lee - TT5
"10:25:27.405","1","2:04.271","73.871","10","102","24"
"10:27:30.686","2","2:03.281","74.464","22","106","23"
"10:29:37.473","3","2:06.787","72.405","14","111","29"
"10:31:40.887","4","2:03.414","74.384","16","116","24"
"10:34:11.773","5","2:30.886","60.841","70","120","27"
137 - Patrick Mizenko - TTGT
"10:25:39.049","1","2:09.200","71.053","53","138","24"
"10:27:42.930","2","2:03.881","74.103","56","138","23"
"10:29:46.708","3","2:03.778","74.165","53","138","26"
"10:31:50.642","4","2:03.934","74.072","58","138","24"
"10:33:54.524","5","2:03.882","74.103","60","140","24"
2 - Brandon Holleman - TTGT
"10:26:01.870","1","2:18.116","66.466","29","133","33"
"10:28:07.524","2","2:05.654","73.058","28","133","27"
"10:30:26.545","3","2:19.021","66.033","32","132","26"
"10:32:30.675","4","2:04.130","73.955","27","133","24"
"10:35:01.027","5","2:30.352","61.057","158","137","30"
930 - Austin Trudeau - TTGT
"10:25:53.890","1","2:16.126","67.438","15","75","33"
"10:28:00.135","2","2:06.245","72.716","14","76","27"
"10:30:11.142","3","2:11.007","70.073","12","75","26"
"10:32:20.079","4","2:08.937","71.198","16","79","24"
"10:34:24.331","5","2:04.252","73.882","15","77","24"
303 - Ken Nissen - TT4
"10:25:30.202","1","2:04.679","73.629","53","132","24"
"10:27:34.719","2","2:04.517","73.725","45","129","23"
"10:29:39.320","3","2:04.601","73.675","49","130","29"
"10:31:43.720","4","2:04.400","73.794","50","128","24"
"10:33:48.001","5","2:04.281","73.865","48","133","24"
222 - Adam Pridgen - TT4
"10:25:43.958","1","2:11.248","69.944","31","129","24"
"10:27:48.406","2","2:04.448","73.766","33","133","27"
"10:29:56.125","3","2:07.719","71.877","34","131","26"
"10:32:10.756","4","2:14.631","68.186","29","128","24"
"10:34:15.816","5","2:05.060","73.405","33","131","24"
65 - Team Half Ass Racing - TT4
"10:26:10.944","1","2:08.583","71.394","26","118","33"
"10:28:15.968","2","2:05.024","73.426","26","131","27"
"10:30:21.662","3","2:05.694","73.035","25","119","26"
"10:32:26.959","4","2:05.297","73.266","17","129","24"
"10:34:32.289","5","2:05.330","73.247","19","129","24"
78 - Matt Johnson - TT4
"10:25:58.399","1","2:19.618","65.751","53","126","33"
"10:28:10.343","2","2:11.944","69.575","42","130","27"
"10:30:19.131","3","2:08.788","71.280","42","123","26"
"10:32:29.283","4","2:10.152","70.533","42","130","24"
"10:34:38.163","5","2:08.880","71.229","42","131","24"
97 - Robert Butler - TT5
"10:25:57.684","1","2:11.805","69.648","50","148","33"
"10:28:07.048","2","2:09.364","70.963","49","146","27"
"10:30:16.873","3","2:09.825","70.711","51","148","26"
"10:32:26.840","4","2:09.967","70.633","54","146","24"
"10:34:36.962","5","2:10.122","70.549","53","148","24"
79 - Mike Martinez - TT5
"10:26:05.512","1","2:15.829","67.585","55","138","33"
"10:28:15.484","2","2:09.972","70.631","60","136","27"
"10:30:35.102","3","2:19.618","65.751","58","141","26"
"10:32:44.612","4","2:09.510","70.883","57","138","24"
"10:35:06.505","5","2:21.893","64.697","61","142","29"
128 - Mark Baer - TT3
"10:26:12.697","1","2:19.220","65.939","49","140","33"
"10:28:27.167","2","2:14.470","68.268","51","137","27"
"10:30:39.184","3","2:12.017","69.536","48","136","26"
"10:33:14.165","4","2:34.981","59.233","131","142","30"
90 - Matt Diolosa - TT5
"10:25:52.095","1","2:16.745","67.132","24","130","33"
"10:27:58.539","2","2:06.444","72.601","24","128","27"
"10:30:04.596","3","2:06.057","72.824","27","131","26"
"10:32:52.971","4","2:48.375","54.521","108","132","30"
131 - Jeff Grant - TT5
"10:25:55.351","1","2:14.018","68.498","40","142","33"
"10:28:03.785","2","2:08.434","71.476","40","147","27"
"10:31:00.453","3","2:56.668","51.962","300","139","31"
"10:34:45.124","4","3:44.671","40.860","40","146","24"
387 - Enrique Martinez - TT4
"10:26:07.196","1","2:50.016","53.995","120","129","29"
