"Pos","PIC","No.","Name","Class","Laps","Total Tm","Diff","Gap","Points"
"1","1","96","Benjamin Councill","Corvette Cup","10","16:43.878","","","100"
"2","1","17","Jimmy Ford","GT","10","16:48.508","4.630","4.630","100"
"3","1","111","Doug Schuler","Super Touring 3","10","17:17.315","33.437","28.807","100"
"4","1","74","Brad Kettler","Super Touring 4","10","17:30.476","46.598","13.161","100"
"5","2","66","Grant Lipsky","Super Touring 4","10","17:31.704","47.826","1.228","90"
"6","1","95","Brian Weldon","GTS4","10","17:35.926","52.048","4.222","100"
"7","2","14","Steven McCann","Super Touring 3","10","17:55.613","1:11.735","19.687","90"
"8","3","21","Alex Nelsen","Super Touring 3","10","17:57.979","1:14.101","2.366","85"
"9","3","39","Kevin Conners","Super Touring 4","10","17:58.340","1:14.462","0.361","85"
"10","4","08","Dana Boote","Super Touring 3","10","18:06.241","1:22.363","7.901","80"
"11","5","23","Phillip Isabel","Super Touring 3","10","18:10.187","1:26.309","3.946","75"
"12","1","67","Peter Standiford","CMC","9","16:50.668","1 Lap","1 Lap","100"
"13","2","615","Lucas Wallace","CMC","9","16:56.886","1 Lap","6.218","90"
"14","3","77","Randy English","CMC","9","17:05.341","1 Lap","8.455","85"
"15","4","26","Randy Weakly","CMC","9","17:06.176","1 Lap","0.835","80"
"16","5","11","Matthew Kasuda","CMC","1","2:50.027","9 Laps","8 Laps","75"
"17","2","69","Adam Smith","GT","","4.160","10 Laps","1 Lap","90"
