"Pos","No.","Name","Class","Best Tm","In Lap","Diff","Gap","Points","2nd Best","Make/Model","Color","Sponsor"
"1","181","Ryan Sotak","TT4","2:00.046","2","","","0","2:00.295","BMW 328is","Black",""
"2","43","Tim Roberts","TT5","2:00.082","2","0.036","0.036","0","2:00.367","BMW 330i","Black","Magpul Industries"
"3","197","Garrett Walz","TT3","2:00.638","4","0.592","0.556","0","2:01.398","Porsche Carrera S","White",""
"4","81","Christina Werley","TT3","2:02.238","5","2.192","1.600","0","2:02.474","BMW M3","Silver",""
"5","111","John Lee","TT5","2:03.281","2","3.235","1.043","0","2:03.414","Honda  S2000","Silver",""
"6","137","Patrick Mizenko","TTGT","2:03.778","3","3.732","0.497","0","2:03.881","Scion FR-S","Gray","Help Factory LLC"
"7","2","Brandon Holleman","TTGT","2:04.130","4","4.084","0.352","0","2:05.654","Mazda Miata","Red",""
"8","930","Austin Trudeau","TTGT","2:04.252","5","4.206","0.122","0","2:06.245","infiniti  g35","Dark grey",""
"9","303","Ken Nissen","TT4","2:04.281","5","4.235","0.029","0","2:04.400","BMW M3","Black",""
"10","222","Adam Pridgen","TT4","2:04.448","2","4.402","0.167","0","2:05.060","BMW M3","White","AYRD"
"11","65","Team Half Ass Racing","TT4","2:05.024","2","4.978","0.576","0","2:05.297","Honda Accord","Red/White/Black","Bro"
"12","78","Matt Johnson","TT4","2:08.788","3","8.742","3.764","0","2:08.880","BMW 325iT","Silver",""
"13","97","Robert Butler","TT5","2:09.364","2","9.318","0.576","0","2:09.825","Toyota GR86","Red","Kenaz Tactical Group"
"14","79","Mike Martinez","TT5","2:09.510","4","9.464","0.146","0","2:09.972","BMW 325i","Red","My Wife"
"15","128","Mark Baer","TT3","2:12.017","3","11.971","2.507","0","2:14.470","Mazda Miata","Multi",""
"16","71","Jason Mak","TTGT","","0","","","0","","Mazda Miata","Grey",""
"DQ","90","Matt Diolosa","TT5","2:06.057","3","","","0","2:06.444","Subaru BRZ","Blue",""
"DQ","131","Jeff Grant","TT5","2:08.434","2","","","0","2:14.018","BMW 330i","Silver",""
"DQ","387","Enrique Martinez","TT4","","0","","","0","","BMW M3","Black","SOCO Motorsports"
